TimeID,ReportYearCV,TimeframeStart,TimeframeEnd,DataPublicationDate
117,2011,10/1/2011,9/30/2011,2/11/2019
118,2012,10/1/2012,9/30/2012,2/11/2019
119,2013,10/1/2013,9/30/2013,2/11/2019
120,2014,10/1/2014,9/30/2014,2/11/2019
121,2005,10/1/2005,9/30/2005,2/11/2019
122,2006,10/1/2006,9/30/2006,2/11/2019
123,2007,10/1/2007,9/30/2007,2/11/2019
124,2008,10/1/2008,9/30/2008,2/11/2019
125,2009,10/1/2009,9/30/2009,2/11/2019
126,2010,10/1/2010,9/30/2010,2/11/2019
127,2011,10/1/2011,9/30/2011,2/11/2019
128,2012,10/1/2012,9/30/2012,2/11/2019
129,2013,10/1/2013,9/30/2013,2/11/2019
130,2014,10/1/2014,9/30/2014,2/11/2019
131,2005,10/1/2005,9/30/2005,2/11/2019
132,2006,10/1/2006,9/30/2006,2/11/2019
133,2007,10/1/2007,9/30/2007,2/11/2019
134,2008,10/1/2008,9/30/2008,2/11/2019
135,2009,10/1/2009,9/30/2009,2/11/2019
136,2010,10/1/2010,9/30/2010,2/11/2019
137,2011,10/1/2011,9/30/2011,2/11/2019
138,2012,10/1/2012,9/30/2012,2/11/2019
139,2013,10/1/2013,9/30/2013,2/11/2019
140,2014,10/1/2014,9/30/2014,2/11/2019
141,2005,10/1/2005,9/30/2005,2/11/2019
142,2006,10/1/2006,9/30/2006,2/11/2019
143,2007,10/1/2007,9/30/2007,2/11/2019
144,2008,10/1/2008,9/30/2008,2/11/2019
145,2009,10/1/2009,9/30/2009,2/11/2019
146,2010,10/1/2010,9/30/2010,2/11/2019
147,2011,10/1/2011,9/30/2011,2/11/2019
148,2012,10/1/2012,9/30/2012,2/11/2019
149,2013,10/1/2013,9/30/2013,2/11/2019
150,2014,10/1/2014,9/30/2014,2/11/2019
151,2005,10/1/2005,9/30/2005,2/11/2019
152,2006,10/1/2006,9/30/2006,2/11/2019
153,2007,10/1/2007,9/30/2007,2/11/2019
154,2008,10/1/2008,9/30/2008,2/11/2019
155,2009,10/1/2009,9/30/2009,2/11/2019
156,2010,10/1/2010,9/30/2010,2/11/2019
157,2011,10/1/2011,9/30/2011,2/11/2019
158,2012,10/1/2012,9/30/2012,2/11/2019
159,2013,10/1/2013,9/30/2013,2/11/2019
160,2014,10/1/2014,9/30/2014,2/11/2019
161,2005,10/1/2005,9/30/2005,2/11/2019
162,2006,10/1/2006,9/30/2006,2/11/2019
163,2007,10/1/2007,9/30/2007,2/11/2019
164,2008,10/1/2008,9/30/2008,2/11/2019
165,2009,10/1/2009,9/30/2009,2/11/2019
166,2010,10/1/2010,9/30/2010,2/11/2019
167,2011,10/1/2011,9/30/2011,2/11/2019
168,2012,10/1/2012,9/30/2012,2/11/2019
169,2013,10/1/2013,9/30/2013,2/11/2019
170,2014,10/1/2014,9/30/2014,2/11/2019
171,2005,10/1/2005,9/30/2005,2/11/2019
172,2006,10/1/2006,9/30/2006,2/11/2019
173,2007,10/1/2007,9/30/2007,2/11/2019
174,2008,10/1/2008,9/30/2008,2/11/2019
175,2009,10/1/2009,9/30/2009,2/11/2019
176,2010,10/1/2010,9/30/2010,2/11/2019
177,2011,10/1/2011,9/30/2011,2/11/2019
178,2012,10/1/2012,9/30/2012,2/11/2019
179,2013,10/1/2013,9/30/2013,2/11/2019
180,2014,10/1/2014,9/30/2014,2/11/2019
181,2005,10/1/2005,9/30/2005,2/11/2019
182,2006,10/1/2006,9/30/2006,2/11/2019
183,2007,10/1/2007,9/30/2007,2/11/2019
184,2008,10/1/2008,9/30/2008,2/11/2019
185,2009,10/1/2009,9/30/2009,2/11/2019
186,2010,10/1/2010,9/30/2010,2/11/2019
187,2011,10/1/2011,9/30/2011,2/11/2019
188,2012,10/1/2012,9/30/2012,2/11/2019
189,2013,10/1/2013,9/30/2013,2/11/2019
190,2014,10/1/2014,9/30/2014,2/11/2019
191,2005,10/1/2005,9/30/2005,2/11/2019
192,2006,10/1/2006,9/30/2006,2/11/2019
193,2007,10/1/2007,9/30/2007,2/11/2019
194,2008,10/1/2008,9/30/2008,2/11/2019
195,2009,10/1/2009,9/30/2009,2/11/2019
196,2010,10/1/2010,9/30/2010,2/11/2019
197,2011,10/1/2011,9/30/2011,2/11/2019
198,2012,10/1/2012,9/30/2012,2/11/2019
199,2013,10/1/2013,9/30/2013,2/11/2019
200,2014,10/1/2014,9/30/2014,2/11/2019
201,2005,10/1/2005,9/30/2005,2/11/2019
202,2006,10/1/2006,9/30/2006,2/11/2019
203,2007,10/1/2007,9/30/2007,2/11/2019
204,2008,10/1/2008,9/30/2008,2/11/2019
205,2009,10/1/2009,9/30/2009,2/11/2019
206,2010,10/1/2010,9/30/2010,2/11/2019
207,2011,10/1/2011,9/30/2011,2/11/2019
208,2012,10/1/2012,9/30/2012,2/11/2019
209,2013,10/1/2013,9/30/2013,2/11/2019
210,2014,10/1/2014,9/30/2014,2/11/2019
211,2005,10/1/2005,9/30/2005,2/11/2019
212,2006,10/1/2006,9/30/2006,2/11/2019
213,2007,10/1/2007,9/30/2007,2/11/2019
214,2008,10/1/2008,9/30/2008,2/11/2019
215,2009,10/1/2009,9/30/2009,2/11/2019
216,2010,10/1/2010,9/30/2010,2/11/2019
217,2011,10/1/2011,9/30/2011,2/11/2019
218,2012,10/1/2012,9/30/2012,2/11/2019
219,2013,10/1/2013,9/30/2013,2/11/2019
220,2014,10/1/2014,9/30/2014,2/11/2019
221,2005,10/1/2005,9/30/2005,2/11/2019
222,2006,10/1/2006,9/30/2006,2/11/2019
223,2007,10/1/2007,9/30/2007,2/11/2019
224,2008,10/1/2008,9/30/2008,2/11/2019
225,2009,10/1/2009,9/30/2009,2/11/2019
226,2010,10/1/2010,9/30/2010,2/11/2019
227,2011,10/1/2011,9/30/2011,2/11/2019
228,2012,10/1/2012,9/30/2012,2/11/2019
229,2013,10/1/2013,9/30/2013,2/11/2019
230,2014,10/1/2014,9/30/2014,2/11/2019
231,2005,10/1/2005,9/30/2005,2/11/2019
232,2006,10/1/2006,9/30/2006,2/11/2019
233,2007,10/1/2007,9/30/2007,2/11/2019
234,2008,10/1/2008,9/30/2008,2/11/2019
235,2009,10/1/2009,9/30/2009,2/11/2019
236,2010,10/1/2010,9/30/2010,2/11/2019
237,2011,10/1/2011,9/30/2011,2/11/2019
238,2012,10/1/2012,9/30/2012,2/11/2019
239,2013,10/1/2013,9/30/2013,2/11/2019
240,2014,10/1/2014,9/30/2014,2/11/2019
241,2005,10/1/2005,9/30/2005,2/11/2019
242,2006,10/1/2006,9/30/2006,2/11/2019
243,2007,10/1/2007,9/30/2007,2/11/2019
244,2008,10/1/2008,9/30/2008,2/11/2019
245,2009,10/1/2009,9/30/2009,2/11/2019
246,2010,10/1/2010,9/30/2010,2/11/2019
247,2011,10/1/2011,9/30/2011,2/11/2019
248,2012,10/1/2012,9/30/2012,2/11/2019
249,2013,10/1/2013,9/30/2013,2/11/2019
250,2014,10/1/2014,9/30/2014,2/11/2019
251,2005,10/1/2005,9/30/2005,2/11/2019
252,2006,10/1/2006,9/30/2006,2/11/2019
253,2007,10/1/2007,9/30/2007,2/11/2019
254,2008,10/1/2008,9/30/2008,2/11/2019
255,2009,10/1/2009,9/30/2009,2/11/2019
256,2010,10/1/2010,9/30/2010,2/11/2019
257,2011,10/1/2011,9/30/2011,2/11/2019
258,2012,10/1/2012,9/30/2012,2/11/2019
259,2013,10/1/2013,9/30/2013,2/11/2019
260,2014,10/1/2014,9/30/2014,2/11/2019
261,2005,10/1/2005,9/30/2005,2/11/2019
262,2006,10/1/2006,9/30/2006,2/11/2019
263,2007,10/1/2007,9/30/2007,2/11/2019
264,2008,10/1/2008,9/30/2008,2/11/2019
265,2009,10/1/2009,9/30/2009,2/11/2019
266,2010,10/1/2010,9/30/2010,2/11/2019
267,2011,10/1/2011,9/30/2011,2/11/2019
268,2012,10/1/2012,9/30/2012,2/11/2019
269,2013,10/1/2013,9/30/2013,2/11/2019
270,2014,10/1/2014,9/30/2014,2/11/2019
271,2005,10/1/2005,9/30/2005,2/11/2019
272,2006,10/1/2006,9/30/2006,2/11/2019
273,2007,10/1/2007,9/30/2007,2/11/2019
274,2008,10/1/2008,9/30/2008,2/11/2019
275,2009,10/1/2009,9/30/2009,2/11/2019
276,2010,10/1/2010,9/30/2010,2/11/2019
277,2011,10/1/2011,9/30/2011,2/11/2019
278,2012,10/1/2012,9/30/2012,2/11/2019
279,2013,10/1/2013,9/30/2013,2/11/2019
280,2014,10/1/2014,9/30/2014,2/11/2019
281,2005,10/1/2005,9/30/2005,2/11/2019
282,2006,10/1/2006,9/30/2006,2/11/2019
283,2007,10/1/2007,9/30/2007,2/11/2019
284,2008,10/1/2008,9/30/2008,2/11/2019
285,2009,10/1/2009,9/30/2009,2/11/2019
286,2010,10/1/2010,9/30/2010,2/11/2019
287,2011,10/1/2011,9/30/2011,2/11/2019
288,2012,10/1/2012,9/30/2012,2/11/2019
289,2013,10/1/2013,9/30/2013,2/11/2019
290,2014,10/1/2014,9/30/2014,2/11/2019
291,2005,10/1/2005,9/30/2005,2/11/2019
292,2006,10/1/2006,9/30/2006,2/11/2019
293,2007,10/1/2007,9/30/2007,2/11/2019
294,2008,10/1/2008,9/30/2008,2/11/2019
295,2009,10/1/2009,9/30/2009,2/11/2019
296,2010,10/1/2010,9/30/2010,2/11/2019
297,2011,10/1/2011,9/30/2011,2/11/2019
298,2012,10/1/2012,9/30/2012,2/11/2019
299,2013,10/1/2013,9/30/2013,2/11/2019
300,2014,10/1/2014,9/30/2014,2/11/2019
301,2005,10/1/2005,9/30/2005,2/11/2019
302,2006,10/1/2006,9/30/2006,2/11/2019
303,2007,10/1/2007,9/30/2007,2/11/2019
304,2008,10/1/2008,9/30/2008,2/11/2019
305,2009,10/1/2009,9/30/2009,2/11/2019
306,2010,10/1/2010,9/30/2010,2/11/2019
307,2011,10/1/2011,9/30/2011,2/11/2019
308,2012,10/1/2012,9/30/2012,2/11/2019
309,2013,10/1/2013,9/30/2013,2/11/2019
310,2014,10/1/2014,9/30/2014,2/11/2019
311,2005,10/1/2005,9/30/2005,2/11/2019
312,2006,10/1/2006,9/30/2006,2/11/2019
313,2007,10/1/2007,9/30/2007,2/11/2019
314,2008,10/1/2008,9/30/2008,2/11/2019
315,2009,10/1/2009,9/30/2009,2/11/2019
316,2010,10/1/2010,9/30/2010,2/11/2019
317,2011,10/1/2011,9/30/2011,2/11/2019
318,2012,10/1/2012,9/30/2012,2/11/2019
319,2013,10/1/2013,9/30/2013,2/11/2019
320,2014,10/1/2014,9/30/2014,2/11/2019
321,2005,10/1/2005,9/30/2005,2/11/2019
322,2006,10/1/2006,9/30/2006,2/11/2019
323,2007,10/1/2007,9/30/2007,2/11/2019
324,2008,10/1/2008,9/30/2008,2/11/2019
325,2009,10/1/2009,9/30/2009,2/11/2019
326,2010,10/1/2010,9/30/2010,2/11/2019
327,2011,10/1/2011,9/30/2011,2/11/2019
328,2012,10/1/2012,9/30/2012,2/11/2019
329,2013,10/1/2013,9/30/2013,2/11/2019
330,2014,10/1/2014,9/30/2014,2/11/2019
331,2005,10/1/2005,9/30/2005,2/11/2019
332,2006,10/1/2006,9/30/2006,2/11/2019
333,2007,10/1/2007,9/30/2007,2/11/2019
334,2008,10/1/2008,9/30/2008,2/11/2019
335,2009,10/1/2009,9/30/2009,2/11/2019
336,2010,10/1/2010,9/30/2010,2/11/2019
337,2011,10/1/2011,9/30/2011,2/11/2019
338,2012,10/1/2012,9/30/2012,2/11/2019
339,2013,10/1/2013,9/30/2013,2/11/2019
340,2014,10/1/2014,9/30/2014,2/11/2019
341,2005,10/1/2005,9/30/2005,2/11/2019
342,2006,10/1/2006,9/30/2006,2/11/2019
343,2007,10/1/2007,9/30/2007,2/11/2019
344,2008,10/1/2008,9/30/2008,2/11/2019
345,2009,10/1/2009,9/30/2009,2/11/2019
346,2010,10/1/2010,9/30/2010,2/11/2019
347,2011,10/1/2011,9/30/2011,2/11/2019
348,2012,10/1/2012,9/30/2012,2/11/2019
349,2013,10/1/2013,9/30/2013,2/11/2019
350,2014,10/1/2014,9/30/2014,2/11/2019
351,2005,10/1/2005,9/30/2005,2/11/2019
352,2006,10/1/2006,9/30/2006,2/11/2019
353,2007,10/1/2007,9/30/2007,2/11/2019
354,2008,10/1/2008,9/30/2008,2/11/2019
355,2009,10/1/2009,9/30/2009,2/11/2019
356,2010,10/1/2010,9/30/2010,2/11/2019
357,2011,10/1/2011,9/30/2011,2/11/2019
358,2012,10/1/2012,9/30/2012,2/11/2019
359,2013,10/1/2013,9/30/2013,2/11/2019
360,2014,10/1/2014,9/30/2014,2/11/2019
361,2005,10/1/2005,9/30/2005,2/11/2019
362,2006,10/1/2006,9/30/2006,2/11/2019
363,2007,10/1/2007,9/30/2007,2/11/2019
364,2008,10/1/2008,9/30/2008,2/11/2019
365,2009,10/1/2009,9/30/2009,2/11/2019
366,2010,10/1/2010,9/30/2010,2/11/2019
367,2011,10/1/2011,9/30/2011,2/11/2019
368,2012,10/1/2012,9/30/2012,2/11/2019
369,2013,10/1/2013,9/30/2013,2/11/2019
370,2014,10/1/2014,9/30/2014,2/11/2019
371,2005,10/1/2005,9/30/2005,2/11/2019
372,2006,10/1/2006,9/30/2006,2/11/2019
373,2007,10/1/2007,9/30/2007,2/11/2019
374,2008,10/1/2008,9/30/2008,2/11/2019
375,2009,10/1/2009,9/30/2009,2/11/2019
376,2010,10/1/2010,9/30/2010,2/11/2019
377,2011,10/1/2011,9/30/2011,2/11/2019
378,2012,10/1/2012,9/30/2012,2/11/2019
379,2013,10/1/2013,9/30/2013,2/11/2019
380,2014,10/1/2014,9/30/2014,2/11/2019
381,2005,10/1/2005,9/30/2005,2/11/2019
382,2006,10/1/2006,9/30/2006,2/11/2019
383,2007,10/1/2007,9/30/2007,2/11/2019
384,2008,10/1/2008,9/30/2008,2/11/2019
385,2009,10/1/2009,9/30/2009,2/11/2019
386,2010,10/1/2010,9/30/2010,2/11/2019
387,2011,10/1/2011,9/30/2011,2/11/2019
388,2012,10/1/2012,9/30/2012,2/11/2019
389,2013,10/1/2013,9/30/2013,2/11/2019
390,2014,10/1/2014,9/30/2014,2/11/2019
391,2005,10/1/2005,9/30/2005,2/11/2019
392,2006,10/1/2006,9/30/2006,2/11/2019
393,2007,10/1/2007,9/30/2007,2/11/2019
394,2008,10/1/2008,9/30/2008,2/11/2019
395,2009,10/1/2009,9/30/2009,2/11/2019
396,2010,10/1/2010,9/30/2010,2/11/2019
397,2011,10/1/2011,9/30/2011,2/11/2019
398,2012,10/1/2012,9/30/2012,2/11/2019
399,2013,10/1/2013,9/30/2013,2/11/2019
400,2014,10/1/2014,9/30/2014,2/11/2019
401,2005,10/1/2005,9/30/2005,2/11/2019
402,2006,10/1/2006,9/30/2006,2/11/2019
403,2007,10/1/2007,9/30/2007,2/11/2019
404,2008,10/1/2008,9/30/2008,2/11/2019
405,2009,10/1/2009,9/30/2009,2/11/2019
406,2010,10/1/2010,9/30/2010,2/11/2019
407,2011,10/1/2011,9/30/2011,2/11/2019
408,2012,10/1/2012,9/30/2012,2/11/2019
409,2013,10/1/2013,9/30/2013,2/11/2019
410,2014,10/1/2014,9/30/2014,2/11/2019
411,2005,10/1/2005,9/30/2005,2/11/2019
412,2006,10/1/2006,9/30/2006,2/11/2019
413,2007,10/1/2007,9/30/2007,2/11/2019
414,2008,10/1/2008,9/30/2008,2/11/2019
415,2009,10/1/2009,9/30/2009,2/11/2019
416,2010,10/1/2010,9/30/2010,2/11/2019
417,2011,10/1/2011,9/30/2011,2/11/2019
418,2012,10/1/2012,9/30/2012,2/11/2019
419,2013,10/1/2013,9/30/2013,2/11/2019
420,2014,10/1/2014,9/30/2014,2/11/2019
421,2005,10/1/2005,9/30/2005,2/11/2019
422,2006,10/1/2006,9/30/2006,2/11/2019
423,2007,10/1/2007,9/30/2007,2/11/2019
424,2008,10/1/2008,9/30/2008,2/11/2019
425,2009,10/1/2009,9/30/2009,2/11/2019
426,2010,10/1/2010,9/30/2010,2/11/2019
427,2011,10/1/2011,9/30/2011,2/11/2019
428,2012,10/1/2012,9/30/2012,2/11/2019
429,2013,10/1/2013,9/30/2013,2/11/2019
430,2014,10/1/2014,9/30/2014,2/11/2019
431,2005,10/1/2005,9/30/2005,2/11/2019
432,2006,10/1/2006,9/30/2006,2/11/2019
433,2007,10/1/2007,9/30/2007,2/11/2019
434,2008,10/1/2008,9/30/2008,2/11/2019
435,2009,10/1/2009,9/30/2009,2/11/2019
436,2010,10/1/2010,9/30/2010,2/11/2019
437,2011,10/1/2011,9/30/2011,2/11/2019
438,2012,10/1/2012,9/30/2012,2/11/2019
439,2013,10/1/2013,9/30/2013,2/11/2019
440,2014,10/1/2014,9/30/2014,2/11/2019
441,2005,10/1/2005,9/30/2005,2/11/2019
442,2006,10/1/2006,9/30/2006,2/11/2019
443,2007,10/1/2007,9/30/2007,2/11/2019
444,2008,10/1/2008,9/30/2008,2/11/2019
445,2009,10/1/2009,9/30/2009,2/11/2019
446,2010,10/1/2010,9/30/2010,2/11/2019
447,2011,10/1/2011,9/30/2011,2/11/2019
448,2012,10/1/2012,9/30/2012,2/11/2019
449,2013,10/1/2013,9/30/2013,2/11/2019
450,2014,10/1/2014,9/30/2014,2/11/2019
451,2005,10/1/2005,9/30/2005,2/11/2019
452,2006,10/1/2006,9/30/2006,2/11/2019
453,2007,10/1/2007,9/30/2007,2/11/2019
454,2008,10/1/2008,9/30/2008,2/11/2019
455,2009,10/1/2009,9/30/2009,2/11/2019
456,2010,10/1/2010,9/30/2010,2/11/2019
457,2011,10/1/2011,9/30/2011,2/11/2019
458,2012,10/1/2012,9/30/2012,2/11/2019
459,2013,10/1/2013,9/30/2013,2/11/2019
460,2014,10/1/2014,9/30/2014,2/11/2019
461,2005,10/1/2005,9/30/2005,2/11/2019
462,2006,10/1/2006,9/30/2006,2/11/2019
463,2007,10/1/2007,9/30/2007,2/11/2019
464,2008,10/1/2008,9/30/2008,2/11/2019
465,2009,10/1/2009,9/30/2009,2/11/2019
466,2010,10/1/2010,9/30/2010,2/11/2019
467,2011,10/1/2011,9/30/2011,2/11/2019
468,2012,10/1/2012,9/30/2012,2/11/2019
469,2013,10/1/2013,9/30/2013,2/11/2019
470,2014,10/1/2014,9/30/2014,2/11/2019
471,2005,10/1/2005,9/30/2005,2/11/2019
472,2006,10/1/2006,9/30/2006,2/11/2019
473,2007,10/1/2007,9/30/2007,2/11/2019
474,2008,10/1/2008,9/30/2008,2/11/2019
475,2009,10/1/2009,9/30/2009,2/11/2019
476,2010,10/1/2010,9/30/2010,2/11/2019
477,2011,10/1/2011,9/30/2011,2/11/2019
478,2012,10/1/2012,9/30/2012,2/11/2019
479,2013,10/1/2013,9/30/2013,2/11/2019
480,2014,10/1/2014,9/30/2014,2/11/2019
481,2005,10/1/2005,9/30/2005,2/11/2019
482,2006,10/1/2006,9/30/2006,2/11/2019
483,2007,10/1/2007,9/30/2007,2/11/2019
484,2008,10/1/2008,9/30/2008,2/11/2019
485,2009,10/1/2009,9/30/2009,2/11/2019
486,2010,10/1/2010,9/30/2010,2/11/2019
487,2011,10/1/2011,9/30/2011,2/11/2019
488,2012,10/1/2012,9/30/2012,2/11/2019
489,2013,10/1/2013,9/30/2013,2/11/2019
490,2014,10/1/2014,9/30/2014,2/11/2019
491,2005,10/1/2005,9/30/2005,2/11/2019
492,2006,10/1/2006,9/30/2006,2/11/2019
493,2007,10/1/2007,9/30/2007,2/11/2019
494,2008,10/1/2008,9/30/2008,2/11/2019
495,2009,10/1/2009,9/30/2009,2/11/2019
496,2010,10/1/2010,9/30/2010,2/11/2019
497,2011,10/1/2011,9/30/2011,2/11/2019
498,2012,10/1/2012,9/30/2012,2/11/2019
499,2013,10/1/2013,9/30/2013,2/11/2019
500,2014,10/1/2014,9/30/2014,2/11/2019
501,2005,10/1/2005,9/30/2005,2/11/2019
502,2006,10/1/2006,9/30/2006,2/11/2019
503,2007,10/1/2007,9/30/2007,2/11/2019
504,2008,10/1/2008,9/30/2008,2/11/2019
505,2009,10/1/2009,9/30/2009,2/11/2019
506,2010,10/1/2010,9/30/2010,2/11/2019
507,2011,10/1/2011,9/30/2011,2/11/2019
508,2012,10/1/2012,9/30/2012,2/11/2019
509,2013,10/1/2013,9/30/2013,2/11/2019
510,2014,10/1/2014,9/30/2014,2/11/2019
511,2005,10/1/2005,9/30/2005,2/11/2019
512,2006,10/1/2006,9/30/2006,2/11/2019
513,2007,10/1/2007,9/30/2007,2/11/2019
514,2008,10/1/2008,9/30/2008,2/11/2019
515,2009,10/1/2009,9/30/2009,2/11/2019
516,2010,10/1/2010,9/30/2010,2/11/2019
517,2011,10/1/2011,9/30/2011,2/11/2019
518,2012,10/1/2012,9/30/2012,2/11/2019
519,2013,10/1/2013,9/30/2013,2/11/2019
520,2014,10/1/2014,9/30/2014,2/11/2019
521,2005,10/1/2005,9/30/2005,2/11/2019
522,2006,10/1/2006,9/30/2006,2/11/2019
523,2007,10/1/2007,9/30/2007,2/11/2019
524,2008,10/1/2008,9/30/2008,2/11/2019
525,2009,10/1/2009,9/30/2009,2/11/2019
526,2010,10/1/2010,9/30/2010,2/11/2019
527,2011,10/1/2011,9/30/2011,2/11/2019
528,2012,10/1/2012,9/30/2012,2/11/2019
529,2013,10/1/2013,9/30/2013,2/11/2019
530,2014,10/1/2014,9/30/2014,2/11/2019
531,2005,10/1/2005,9/30/2005,2/11/2019
532,2006,10/1/2006,9/30/2006,2/11/2019
533,2007,10/1/2007,9/30/2007,2/11/2019
534,2008,10/1/2008,9/30/2008,2/11/2019
535,2009,10/1/2009,9/30/2009,2/11/2019
