AmountMetadataID,BeneficialUseCategory,PrimaryUseCategory,USGSCategoryCV,SDWISIdentifier,NAICSCodeCV,PopulationServed,IrrigatedAcreage,IrrigationMethod,CropType,PowerGeneratedGWh,Geometry,InterbasinTransferFromID,InterbasinTransferToID
56,Agriculture,,Irrigation,,,,,,,,,,
57,Agriculture,,Irrigation,,,,,,,,,,
58,Agriculture,,Irrigation,,,,,,,,,,
59,Agriculture,,Irrigation,,,,,,,,,,
60,Agriculture,,Irrigation,,,,,,,,,,
61,Agriculture,,Irrigation,,,,,,,,,,
62,Agriculture,,Irrigation,,,,,,,,,,
63,Agriculture,,Irrigation,,,,,,,,,,
64,Agriculture,,Irrigation,,,,,,,,,,
65,Agriculture,,Irrigation,,,,,,,,,,
66,Agriculture,,Irrigation,,,,,,,,,,
67,Agriculture,,Irrigation,,,,,,,,,,
68,Agriculture,,Irrigation,,,,,,,,,,
69,Agriculture,,Irrigation,,,,,,,,,,
70,Agriculture,,Irrigation,,,,,,,,,,
71,Agriculture,,Irrigation,,,,,,,,,,
72,Agriculture,,Irrigation,,,,,,,,,,
73,Agriculture,,Irrigation,,,,,,,,,,
74,Agriculture,,Irrigation,,,,,,,,,,
75,Agriculture,,Irrigation,,,,,,,,,,
76,Agriculture,,Irrigation,,,,,,,,,,
77,Agriculture,,Irrigation,,,,,,,,,,
78,Agriculture,,Irrigation,,,,,,,,,,
79,Agriculture,,Irrigation,,,,,,,,,,
80,Agriculture,,Irrigation,,,,,,,,,,
81,Agriculture,,Irrigation,,,,,,,,,,
82,Agriculture,,Irrigation,,,,,,,,,,
83,Agriculture,,Irrigation,,,,,,,,,,
84,Agriculture,,Irrigation,,,,,,,,,,
85,Agriculture,,Irrigation,,,,,,,,,,
86,Agriculture,,Irrigation,,,,,,,,,,
87,Agriculture,,Irrigation,,,,,,,,,,
88,Agriculture,,Irrigation,,,,,,,,,,
89,Agriculture,,Irrigation,,,,,,,,,,
90,Agriculture,,Irrigation,,,,,,,,,,
91,Agriculture,,Irrigation,,,,,,,,,,
92,Agriculture,,Irrigation,,,,,,,,,,
93,Agriculture,,Irrigation,,,,,,,,,,
94,Agriculture,,Irrigation,,,,,,,,,,
95,Agriculture,,Irrigation,,,,,,,,,,
96,Agriculture,,Irrigation,,,,,,,,,,
97,Agriculture,,Irrigation,,,,,,,,,,
98,Agriculture,,Irrigation,,,,,,,,,,
99,Agriculture,,Irrigation,,,,,,,,,,
100,Agriculture,,Irrigation,,,,,,,,,,
101,Agriculture,,Irrigation,,,,,,,,,,
102,Agriculture,,Irrigation,,,,,,,,,,
103,Agriculture,,Irrigation,,,,,,,,,,
104,Agriculture,,Irrigation,,,,,,,,,,
105,Agriculture,,Irrigation,,,,,,,,,,
106,Agriculture,,Irrigation,,,,,,,,,,
107,Agriculture,,Irrigation,,,,,,,,,,
108,Agriculture,,Irrigation,,,,,,,,,,
109,Agriculture,,Irrigation,,,,,,,,,,
110,Agriculture,,Irrigation,,,,,,,,,,
111,Agriculture,,Irrigation,,,,,,,,,,
112,Agriculture,,Irrigation,,,,,,,,,,
113,Agriculture,,Irrigation,,,,,,,,,,
114,Agriculture,,Irrigation,,,,,,,,,,
115,Agriculture,,Irrigation,,,,,,,,,,
116,Agriculture,,Irrigation,,,,,,,,,,
117,Agriculture,,Irrigation,,,,,,,,,,
118,Agriculture,,Irrigation,,,,,,,,,,
119,Agriculture,,Irrigation,,,,,,,,,,
120,Agriculture,,Irrigation,,,,,,,,,,
121,Agriculture,,Irrigation,,,,,,,,,,
122,Agriculture,,Irrigation,,,,,,,,,,
123,Agriculture,,Irrigation,,,,,,,,,,
124,Agriculture,,Irrigation,,,,,,,,,,
125,Agriculture,,Irrigation,,,,,,,,,,
126,Agriculture,,Irrigation,,,,,,,,,,
127,Agriculture,,Irrigation,,,,,,,,,,
128,Agriculture,,Irrigation,,,,,,,,,,
129,Agriculture,,Irrigation,,,,,,,,,,
130,Agriculture,,Irrigation,,,,,,,,,,
131,Agriculture,,Irrigation,,,,,,,,,,
132,Agriculture,,Irrigation,,,,,,,,,,
133,Agriculture,,Irrigation,,,,,,,,,,
134,Agriculture,,Irrigation,,,,,,,,,,
135,Agriculture,,Irrigation,,,,,,,,,,
136,Agriculture,,Irrigation,,,,,,,,,,
137,Agriculture,,Irrigation,,,,,,,,,,
138,Agriculture,,Irrigation,,,,,,,,,,
139,Agriculture,,Irrigation,,,,,,,,,,
140,Agriculture,,Irrigation,,,,,,,,,,
141,Agriculture,,Irrigation,,,,,,,,,,
142,Agriculture,,Irrigation,,,,,,,,,,
143,Agriculture,,Irrigation,,,,,,,,,,
144,Agriculture,,Irrigation,,,,,,,,,,
145,Agriculture,,Irrigation,,,,,,,,,,
146,Agriculture,,Irrigation,,,,,,,,,,
147,Agriculture,,Irrigation,,,,,,,,,,
148,Agriculture,,Irrigation,,,,,,,,,,
149,Agriculture,,Irrigation,,,,,,,,,,
150,Agriculture,,Irrigation,,,,,,,,,,
151,Agriculture,,Irrigation,,,,,,,,,,
152,Agriculture,,Irrigation,,,,,,,,,,
153,Agriculture,,Irrigation,,,,,,,,,,
154,Agriculture,,Irrigation,,,,,,,,,,
155,Agriculture,,Irrigation,,,,,,,,,,
156,Agriculture,,Irrigation,,,,,,,,,,
157,Agriculture,,Irrigation,,,,,,,,,,
158,Agriculture,,Irrigation,,,,,,,,,,
159,Agriculture,,Irrigation,,,,,,,,,,
160,Agriculture,,Irrigation,,,,,,,,,,
161,Agriculture,,Irrigation,,,,,,,,,,
162,Agriculture,,Irrigation,,,,,,,,,,
163,Agriculture,,Irrigation,,,,,,,,,,
164,Agriculture,,Irrigation,,,,,,,,,,
165,Agriculture,,Irrigation,,,,,,,,,,
166,Agriculture,,Irrigation,,,,,,,,,,
167,Agriculture,,Irrigation,,,,,,,,,,
168,Agriculture,,Irrigation,,,,,,,,,,
169,Agriculture,,Irrigation,,,,,,,,,,
170,Agriculture,,Irrigation,,,,,,,,,,
171,Agriculture,,Irrigation,,,,,,,,,,
172,Agriculture,,Irrigation,,,,,,,,,,
173,Agriculture,,Irrigation,,,,,,,,,,
174,Agriculture,,Irrigation,,,,,,,,,,
175,Agriculture,,Irrigation,,,,,,,,,,
176,Agriculture,,Irrigation,,,,,,,,,,
177,Agriculture,,Irrigation,,,,,,,,,,
178,Agriculture,,Irrigation,,,,,,,,,,
179,Agriculture,,Irrigation,,,,,,,,,,
180,Agriculture,,Irrigation,,,,,,,,,,
181,Agriculture,,Irrigation,,,,,,,,,,
182,Agriculture,,Irrigation,,,,,,,,,,
183,Agriculture,,Irrigation,,,,,,,,,,
184,Agriculture,,Irrigation,,,,,,,,,,
185,Agriculture,,Irrigation,,,,,,,,,,
186,Agriculture,,Irrigation,,,,,,,,,,
187,Agriculture,,Irrigation,,,,,,,,,,
188,Agriculture,,Irrigation,,,,,,,,,,
189,Agriculture,,Irrigation,,,,,,,,,,
190,Agriculture,,Irrigation,,,,,,,,,,
191,Agriculture,,Irrigation,,,,,,,,,,
192,Agriculture,,Irrigation,,,,,,,,,,
193,Agriculture,,Irrigation,,,,,,,,,,
194,Agriculture,,Irrigation,,,,,,,,,,
195,Agriculture,,Irrigation,,,,,,,,,,
196,Agriculture,,Irrigation,,,,,,,,,,
197,Agriculture,,Irrigation,,,,,,,,,,
198,Agriculture,,Irrigation,,,,,,,,,,
199,Agriculture,,Irrigation,,,,,,,,,,
200,Agriculture,,Irrigation,,,,,,,,,,
201,Agriculture,,Irrigation,,,,,,,,,,
202,Agriculture,,Irrigation,,,,,,,,,,
203,Agriculture,,Irrigation,,,,,,,,,,
204,Agriculture,,Irrigation,,,,,,,,,,
205,Agriculture,,Irrigation,,,,,,,,,,
206,Agriculture,,Irrigation,,,,,,,,,,
207,Agriculture,,Irrigation,,,,,,,,,,
208,Agriculture,,Irrigation,,,,,,,,,,
209,Agriculture,,Irrigation,,,,,,,,,,
210,Agriculture,,Irrigation,,,,,,,,,,
211,Agriculture,,Irrigation,,,,,,,,,,
212,Agriculture,,Irrigation,,,,,,,,,,
213,Agriculture,,Irrigation,,,,,,,,,,
214,Agriculture,,Irrigation,,,,,,,,,,
215,Agriculture,,Irrigation,,,,,,,,,,
216,Agriculture,,Irrigation,,,,,,,,,,
217,Agriculture,,Irrigation,,,,,,,,,,
218,Agriculture,,Irrigation,,,,,,,,,,
219,Agriculture,,Irrigation,,,,,,,,,,
220,Agriculture,,Irrigation,,,,,,,,,,
221,Agriculture,,Irrigation,,,,,,,,,,
222,Agriculture,,Irrigation,,,,,,,,,,
223,Agriculture,,Irrigation,,,,,,,,,,
224,Agriculture,,Irrigation,,,,,,,,,,
225,Agriculture,,Irrigation,,,,,,,,,,
226,Agriculture,,Irrigation,,,,,,,,,,
227,Agriculture,,Irrigation,,,,,,,,,,
228,Agriculture,,Irrigation,,,,,,,,,,
229,Agriculture,,Irrigation,,,,,,,,,,
230,Agriculture,,Irrigation,,,,,,,,,,
231,Agriculture,,Irrigation,,,,,,,,,,
232,Agriculture,,Irrigation,,,,,,,,,,
233,Agriculture,,Irrigation,,,,,,,,,,
234,Agriculture,,Irrigation,,,,,,,,,,
235,Agriculture,,Irrigation,,,,,,,,,,
236,Agriculture,,Irrigation,,,,,,,,,,
237,Agriculture,,Irrigation,,,,,,,,,,
238,Agriculture,,Irrigation,,,,,,,,,,
239,Agriculture,,Irrigation,,,,,,,,,,
240,Agriculture,,Irrigation,,,,,,,,,,
241,Agriculture,,Irrigation,,,,,,,,,,
242,Agriculture,,Irrigation,,,,,,,,,,
243,Agriculture,,Irrigation,,,,,,,,,,
244,Agriculture,,Irrigation,,,,,,,,,,
245,Agriculture,,Irrigation,,,,,,,,,,
246,Agriculture,,Irrigation,,,,,,,,,,
247,Agriculture,,Irrigation,,,,,,,,,,
248,Agriculture,,Irrigation,,,,,,,,,,
249,Agriculture,,Irrigation,,,,,,,,,,
250,Agriculture,,Irrigation,,,,,,,,,,
251,Agriculture,,Irrigation,,,,,,,,,,
252,Agriculture,,Irrigation,,,,,,,,,,
253,Agriculture,,Irrigation,,,,,,,,,,
254,Agriculture,,Irrigation,,,,,,,,,,
255,Agriculture,,Irrigation,,,,,,,,,,
256,Agriculture,,Irrigation,,,,,,,,,,
257,Agriculture,,Irrigation,,,,,,,,,,
258,Agriculture,,Irrigation,,,,,,,,,,
259,Agriculture,,Irrigation,,,,,,,,,,
260,Agriculture,,Irrigation,,,,,,,,,,
261,Agriculture,,Irrigation,,,,,,,,,,
262,Agriculture,,Irrigation,,,,,,,,,,
263,Agriculture,,Irrigation,,,,,,,,,,
264,Agriculture,,Irrigation,,,,,,,,,,
265,Agriculture,,Irrigation,,,,,,,,,,
266,Agriculture,,Irrigation,,,,,,,,,,
267,Agriculture,,Irrigation,,,,,,,,,,
268,Agriculture,,Irrigation,,,,,,,,,,
269,Agriculture,,Irrigation,,,,,,,,,,
270,Agriculture,,Irrigation,,,,,,,,,,
271,Agriculture,,Irrigation,,,,,,,,,,
272,Agriculture,,Irrigation,,,,,,,,,,
273,Agriculture,,Irrigation,,,,,,,,,,
274,Agriculture,,Irrigation,,,,,,,,,,
275,Agriculture,,Irrigation,,,,,,,,,,
276,Agriculture,,Irrigation,,,,,,,,,,
277,Agriculture,,Irrigation,,,,,,,,,,
278,Agriculture,,Irrigation,,,,,,,,,,
279,Agriculture,,Irrigation,,,,,,,,,,
280,Agriculture,,Irrigation,,,,,,,,,,
281,Agriculture,,Irrigation,,,,,,,,,,
282,Agriculture,,Irrigation,,,,,,,,,,
283,Agriculture,,Irrigation,,,,,,,,,,
284,Agriculture,,Irrigation,,,,,,,,,,
285,Agriculture,,Irrigation,,,,,,,,,,
286,Agriculture,,Irrigation,,,,,,,,,,
287,Agriculture,,Irrigation,,,,,,,,,,
288,Agriculture,,Irrigation,,,,,,,,,,
289,Agriculture,,Irrigation,,,,,,,,,,
290,Agriculture,,Irrigation,,,,,,,,,,
291,Agriculture,,Irrigation,,,,,,,,,,
292,Agriculture,,Irrigation,,,,,,,,,,
293,Agriculture,,Irrigation,,,,,,,,,,
294,Agriculture,,Irrigation,,,,,,,,,,
295,Agriculture,,Irrigation,,,,,,,,,,
296,Agriculture,,Irrigation,,,,,,,,,,
297,Agriculture,,Irrigation,,,,,,,,,,
298,Agriculture,,Irrigation,,,,,,,,,,
299,Agriculture,,Irrigation,,,,,,,,,,
300,Agriculture,,Irrigation,,,,,,,,,,
301,Agriculture,,Irrigation,,,,,,,,,,
302,Agriculture,,Irrigation,,,,,,,,,,
303,Agriculture,,Irrigation,,,,,,,,,,
304,Agriculture,,Irrigation,,,,,,,,,,
305,Agriculture,,Irrigation,,,,,,,,,,
306,Agriculture,,Irrigation,,,,,,,,,,
307,Agriculture,,Irrigation,,,,,,,,,,
308,Agriculture,,Irrigation,,,,,,,,,,
309,Agriculture,,Irrigation,,,,,,,,,,
310,Agriculture,,Irrigation,,,,,,,,,,
311,Agriculture,,Irrigation,,,,,,,,,,
312,Agriculture,,Irrigation,,,,,,,,,,
313,Agriculture,,Irrigation,,,,,,,,,,
314,Agriculture,,Irrigation,,,,,,,,,,
315,Agriculture,,Irrigation,,,,,,,,,,
316,Agriculture,,Irrigation,,,,,,,,,,
317,Agriculture,,Irrigation,,,,,,,,,,
318,Agriculture,,Irrigation,,,,,,,,,,
319,Agriculture,,Irrigation,,,,,,,,,,
320,Agriculture,,Irrigation,,,,,,,,,,
321,Agriculture,,Irrigation,,,,,,,,,,
322,Agriculture,,Irrigation,,,,,,,,,,
323,Agriculture,,Irrigation,,,,,,,,,,
324,Agriculture,,Irrigation,,,,,,,,,,
325,Agriculture,,Irrigation,,,,,,,,,,
326,Agriculture,,Irrigation,,,,,,,,,,
327,Agriculture,,Irrigation,,,,,,,,,,
328,Agriculture,,Irrigation,,,,,,,,,,
329,Agriculture,,Irrigation,,,,,,,,,,
330,Agriculture,,Irrigation,,,,,,,,,,
331,Agriculture,,Irrigation,,,,,,,,,,
332,Agriculture,,Irrigation,,,,,,,,,,
333,Agriculture,,Irrigation,,,,,,,,,,
334,Agriculture,,Irrigation,,,,,,,,,,
335,Agriculture,,Irrigation,,,,,,,,,,
336,Agriculture,,Irrigation,,,,,,,,,,
337,Agriculture,,Irrigation,,,,,,,,,,
338,Agriculture,,Irrigation,,,,,,,,,,
339,Agriculture,,Irrigation,,,,,,,,,,
340,Agriculture,,Irrigation,,,,,,,,,,
341,Agriculture,,Irrigation,,,,,,,,,,
342,Agriculture,,Irrigation,,,,,,,,,,
343,Agriculture,,Irrigation,,,,,,,,,,
344,Agriculture,,Irrigation,,,,,,,,,,
345,Agriculture,,Irrigation,,,,,,,,,,
346,Agriculture,,Irrigation,,,,,,,,,,
347,Agriculture,,Irrigation,,,,,,,,,,
348,Agriculture,,Irrigation,,,,,,,,,,
349,Agriculture,,Irrigation,,,,,,,,,,
350,Agriculture,,Irrigation,,,,,,,,,,
351,Agriculture,,Irrigation,,,,,,,,,,
352,Agriculture,,Irrigation,,,,,,,,,,
353,Agriculture,,Irrigation,,,,,,,,,,
354,Agriculture,,Irrigation,,,,,,,,,,
355,Agriculture,,Irrigation,,,,,,,,,,
356,Agriculture,,Irrigation,,,,,,,,,,
357,Agriculture,,Irrigation,,,,,,,,,,
358,Agriculture,,Irrigation,,,,,,,,,,
359,Agriculture,,Irrigation,,,,,,,,,,
360,Agriculture,,Irrigation,,,,,,,,,,
361,Agriculture,,Irrigation,,,,,,,,,,
362,Agriculture,,Irrigation,,,,,,,,,,
363,Agriculture,,Irrigation,,,,,,,,,,
364,Agriculture,,Irrigation,,,,,,,,,,
365,Agriculture,,Irrigation,,,,,,,,,,
366,Agriculture,,Irrigation,,,,,,,,,,
367,Agriculture,,Irrigation,,,,,,,,,,
368,Agriculture,,Irrigation,,,,,,,,,,
369,Agriculture,,Irrigation,,,,,,,,,,
370,Agriculture,,Irrigation,,,,,,,,,,
371,Agriculture,,Irrigation,,,,,,,,,,
372,Agriculture,,Irrigation,,,,,,,,,,
373,Agriculture,,Irrigation,,,,,,,,,,
374,Agriculture,,Irrigation,,,,,,,,,,
375,Agriculture,,Irrigation,,,,,,,,,,
376,Agriculture,,Irrigation,,,,,,,,,,
377,Agriculture,,Irrigation,,,,,,,,,,
378,Agriculture,,Irrigation,,,,,,,,,,
379,Agriculture,,Irrigation,,,,,,,,,,
380,Agriculture,,Irrigation,,,,,,,,,,
381,Agriculture,,Irrigation,,,,,,,,,,
382,Agriculture,,Irrigation,,,,,,,,,,
383,Agriculture,,Irrigation,,,,,,,,,,
384,Agriculture,,Irrigation,,,,,,,,,,
385,Agriculture,,Irrigation,,,,,,,,,,
386,Agriculture,,Irrigation,,,,,,,,,,
387,Agriculture,,Irrigation,,,,,,,,,,
388,Agriculture,,Irrigation,,,,,,,,,,
389,Agriculture,,Irrigation,,,,,,,,,,
390,Agriculture,,Irrigation,,,,,,,,,,
391,Agriculture,,Irrigation,,,,,,,,,,
392,Agriculture,,Irrigation,,,,,,,,,,
393,Agriculture,,Irrigation,,,,,,,,,,
394,Agriculture,,Irrigation,,,,,,,,,,
395,Agriculture,,Irrigation,,,,,,,,,,
396,Agriculture,,Irrigation,,,,,,,,,,
397,Agriculture,,Irrigation,,,,,,,,,,
398,Agriculture,,Irrigation,,,,,,,,,,
399,Agriculture,,Irrigation,,,,,,,,,,
400,Agriculture,,Irrigation,,,,,,,,,,
401,Agriculture,,Irrigation,,,,,,,,,,
402,Agriculture,,Irrigation,,,,,,,,,,
403,Agriculture,,Irrigation,,,,,,,,,,
404,Agriculture,,Irrigation,,,,,,,,,,
405,Agriculture,,Irrigation,,,,,,,,,,
406,Agriculture,,Irrigation,,,,,,,,,,
407,Agriculture,,Irrigation,,,,,,,,,,
408,Agriculture,,Irrigation,,,,,,,,,,
409,Agriculture,,Irrigation,,,,,,,,,,
410,Agriculture,,Irrigation,,,,,,,,,,
411,Agriculture,,Irrigation,,,,,,,,,,
412,Agriculture,,Irrigation,,,,,,,,,,
413,Agriculture,,Irrigation,,,,,,,,,,
414,Agriculture,,Irrigation,,,,,,,,,,
415,Agriculture,,Irrigation,,,,,,,,,,
416,Agriculture,,Irrigation,,,,,,,,,,
417,Agriculture,,Irrigation,,,,,,,,,,
418,Agriculture,,Irrigation,,,,,,,,,,
419,Agriculture,,Irrigation,,,,,,,,,,
420,Agriculture,,Irrigation,,,,,,,,,,
421,Agriculture,,Irrigation,,,,,,,,,,
422,Agriculture,,Irrigation,,,,,,,,,,
423,Agriculture,,Irrigation,,,,,,,,,,
424,Agriculture,,Irrigation,,,,,,,,,,
425,Agriculture,,Irrigation,,,,,,,,,,
426,Agriculture,,Irrigation,,,,,,,,,,
427,Agriculture,,Irrigation,,,,,,,,,,
428,Agriculture,,Irrigation,,,,,,,,,,
429,Agriculture,,Irrigation,,,,,,,,,,
430,Agriculture,,Irrigation,,,,,,,,,,
431,Agriculture,,Irrigation,,,,,,,,,,
432,Agriculture,,Irrigation,,,,,,,,,,
433,Agriculture,,Irrigation,,,,,,,,,,
434,Agriculture,,Irrigation,,,,,,,,,,
435,Agriculture,,Irrigation,,,,,,,,,,
436,Agriculture,,Irrigation,,,,,,,,,,
437,Agriculture,,Irrigation,,,,,,,,,,
438,Agriculture,,Irrigation,,,,,,,,,,
439,Agriculture,,Irrigation,,,,,,,,,,
440,Agriculture,,Irrigation,,,,,,,,,,
441,Agriculture,,Irrigation,,,,,,,,,,
442,Agriculture,,Irrigation,,,,,,,,,,
443,Agriculture,,Irrigation,,,,,,,,,,
444,Agriculture,,Irrigation,,,,,,,,,,
445,Agriculture,,Irrigation,,,,,,,,,,
446,Agriculture,,Irrigation,,,,,,,,,,
447,Agriculture,,Irrigation,,,,,,,,,,
448,Agriculture,,Irrigation,,,,,,,,,,
449,Agriculture,,Irrigation,,,,,,,,,,
450,Agriculture,,Irrigation,,,,,,,,,,
451,Agriculture,,Irrigation,,,,,,,,,,
452,Agriculture,,Irrigation,,,,,,,,,,
453,Agriculture,,Irrigation,,,,,,,,,,
454,Agriculture,,Irrigation,,,,,,,,,,
455,Agriculture,,Irrigation,,,,,,,,,,
456,Agriculture,,Irrigation,,,,,,,,,,
457,Agriculture,,Irrigation,,,,,,,,,,
458,Agriculture,,Irrigation,,,,,,,,,,
459,Agriculture,,Irrigation,,,,,,,,,,
460,Agriculture,,Irrigation,,,,,,,,,,
461,Agriculture,,Irrigation,,,,,,,,,,
462,Agriculture,,Irrigation,,,,,,,,,,
463,Agriculture,,Irrigation,,,,,,,,,,
464,Agriculture,,Irrigation,,,,,,,,,,
465,Agriculture,,Irrigation,,,,,,,,,,
466,Agriculture,,Irrigation,,,,,,,,,,
467,Agriculture,,Irrigation,,,,,,,,,,
468,Agriculture,,Irrigation,,,,,,,,,,
469,Agriculture,,Irrigation,,,,,,,,,,
470,Agriculture,,Irrigation,,,,,,,,,,
471,Agriculture,,Irrigation,,,,,,,,,,
472,Agriculture,,Irrigation,,,,,,,,,,
473,Agriculture,,Irrigation,,,,,,,,,,
474,Agriculture,,Irrigation,,,,,,,,,,
475,Agriculture,,Irrigation,,,,,,,,,,
476,Agriculture,,Irrigation,,,,,,,,,,
477,Agriculture,,Irrigation,,,,,,,,,,
478,Agriculture,,Irrigation,,,,,,,,,,
479,Agriculture,,Irrigation,,,,,,,,,,
480,Agriculture,,Irrigation,,,,,,,,,,
481,Agriculture,,Irrigation,,,,,,,,,,
482,Agriculture,,Irrigation,,,,,,,,,,
483,Agriculture,,Irrigation,,,,,,,,,,
484,Agriculture,,Irrigation,,,,,,,,,,
485,Agriculture,,Irrigation,,,,,,,,,,
486,Agriculture,,Irrigation,,,,,,,,,,
487,Agriculture,,Irrigation,,,,,,,,,,
488,Agriculture,,Irrigation,,,,,,,,,,
489,Agriculture,,Irrigation,,,,,,,,,,
490,Agriculture,,Irrigation,,,,,,,,,,
491,Agriculture,,Irrigation,,,,,,,,,,
492,Agriculture,,Irrigation,,,,,,,,,,
493,Agriculture,,Irrigation,,,,,,,,,,
494,Agriculture,,Irrigation,,,,,,,,,,
495,Agriculture,,Irrigation,,,,,,,,,,
496,Agriculture,,Irrigation,,,,,,,,,,
497,Agriculture,,Irrigation,,,,,,,,,,
498,Agriculture,,Irrigation,,,,,,,,,,
499,Agriculture,,Irrigation,,,,,,,,,,
500,Agriculture,,Irrigation,,,,,,,,,,
501,Agriculture,,Irrigation,,,,,,,,,,
502,Agriculture,,Irrigation,,,,,,,,,,
503,Agriculture,,Irrigation,,,,,,,,,,
504,Agriculture,,Irrigation,,,,,,,,,,
505,Agriculture,,Irrigation,,,,,,,,,,
506,Agriculture,,Irrigation,,,,,,,,,,
507,Agriculture,,Irrigation,,,,,,,,,,
508,Agriculture,,Irrigation,,,,,,,,,,
509,Agriculture,,Irrigation,,,,,,,,,,
510,Agriculture,,Irrigation,,,,,,,,,,
511,Agriculture,,Irrigation,,,,,,,,,,
512,Agriculture,,Irrigation,,,,,,,,,,
513,Agriculture,,Irrigation,,,,,,,,,,
514,Agriculture,,Irrigation,,,,,,,,,,
515,Agriculture,,Irrigation,,,,,,,,,,
516,Agriculture,,Irrigation,,,,,,,,,,
517,Agriculture,,Irrigation,,,,,,,,,,
518,Agriculture,,Irrigation,,,,,,,,,,
519,Agriculture,,Irrigation,,,,,,,,,,
520,Agriculture,,Irrigation,,,,,,,,,,
521,Agriculture,,Irrigation,,,,,,,,,,
522,Agriculture,,Irrigation,,,,,,,,,,
523,Agriculture,,Irrigation,,,,,,,,,,
524,Agriculture,,Irrigation,,,,,,,,,,
525,Agriculture,,Irrigation,,,,,,,,,,
526,Agriculture,,Irrigation,,,,,,,,,,
527,Agriculture,,Irrigation,,,,,,,,,,
528,Agriculture,,Irrigation,,,,,,,,,,
529,Agriculture,,Irrigation,,,,,,,,,,
530,Agriculture,,Irrigation,,,,,,,,,,
531,Agriculture,,Irrigation,,,,,,,,,,
532,Agriculture,,Irrigation,,,,,,,,,,
533,Agriculture,,Irrigation,,,,,,,,,,
534,Agriculture,,Irrigation,,,,,,,,,,
535,Agriculture,,Irrigation,,,,,,,,,,
536,Agriculture,,Irrigation,,,,,,,,,,
537,Agriculture,,Irrigation,,,,,,,,,,
538,Agriculture,,Irrigation,,,,,,,,,,
539,Agriculture,,Irrigation,,,,,,,,,,
540,Agriculture,,Irrigation,,,,,,,,,,
541,Agriculture,,Irrigation,,,,,,,,,,
542,Agriculture,,Irrigation,,,,,,,,,,
543,Agriculture,,Irrigation,,,,,,,,,,
544,Agriculture,,Irrigation,,,,,,,,,,
545,Agriculture,,Irrigation,,,,,,,,,,
546,Agriculture,,Irrigation,,,,,,,,,,
547,Agriculture,,Irrigation,,,,,,,,,,
548,Agriculture,,Irrigation,,,,,,,,,,
549,Agriculture,,Irrigation,,,,,,,,,,
