BeneficialUseID,BeneficialUseUUID,BeneficialUseCategory,PrimaryUseCategory,USGSCategoryNameCV,NAICSCodeNameCV
262,262,"Irrigation, Recreation, Fishery, Domestic, Evaporative",,,
263,263,"Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Basin Export",,,
264,264,"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Domestic, Power",,,
265,265,"Domestic, Power",,,
266,266,"Industrial, Recreation, Fishery, Augmentation, Wildlife",,,
267,267,"Municipal, Household Use Only",,,
268,268,"Domestic, Power, Wildlife",,,
269,269,"Irrigation, Recreation",,,
270,270,"Augmentation, Other, Recharge",,,
271,271,"Irrigation, Fishery, All Beneficial Uses",,,
272,272,"Irrigation, Municipal, Industrial, Stock",,,
273,273,"Storage, Irrigation, Commercial, Recreation, Fire, Domestic, Stock",,,
274,274,"Recreation, Domestic, Augmentation",,,
275,275,"Irrigation, Commercial, Industrial, Fishery, Stock",,,
276,276,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Augmentation, Cumulative Accretion to River, Wildlife",,,
277,277,"Storage, Irrigation, Recreation, Fishery, Fire, Augmentation",,,
278,278,"Fire, Domestic, Federal Reserved",,,
279,279,"Irrigation, Recreation, Augmentation, Other",,,
280,280,"Irrigation, Commercial, Recreation, Fishery, Fire, Domestic, Augmentation, Household Use Only",,,
281,281,"Irrigation, Municipal, Commercial, Recreation, Fire, Domestic, Power, Other",,,
282,282,"Municipal, Commercial, Domestic",,,
283,283,"Municipal, Commercial, Industrial, Domestic",,,
284,284,"Irrigation, Municipal, Domestic, Stock, Power",,,
285,285,"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Domestic, Power",,,
286,286,"Storage, Municipal, Industrial, Fire, Domestic",,,
287,287,"Irrigation, Municipal, Commercial, Industrial, Fire, Domestic, Power",,,
288,288,"Irrigation, Municipal, Industrial, Recreation, Fishery, Fire, Domestic, Power",,,
289,289,"Recreation, Domestic, Stock",,,
290,290,"Storage, Irrigation, Fire, Domestic",,,
291,291,"Irrigation, Municipal, Industrial, Recreation, Domestic, Augmentation, Other",,,
292,292,"Fire, Domestic, Household Use Only",,,
293,293,"Domestic, Evaporative",,,
294,294,"Irrigation, Municipal, Fishery, Wildlife",,,
295,295,"Recharge, Wildlife",,,
296,296,"Recreation, Geothermal",,,
297,297,"Commercial, Recreation, Fishery, Stock",,,
298,298,"Irrigation, Power",,,
299,299,"Irrigation, Domestic, Other",,,
300,300,"Irrigation, Industrial, Wildlife",,,
301,301,"Irrigation, Recreation, Fire, Stock, Other, Wildlife",,,
302,302,"Stock, Geothermal",,,
303,303,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Augmentation, All Beneficial Uses",,,
304,304,"Commercial, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife",,,
305,305,"Irrigation, Recreation, Fishery, Domestic, Power, Wildlife",,,
306,306,"Commercial, Industrial, Augmentation",,,
307,307,"Irrigation, Municipal, Commercial, Recreation, Fishery, Fire, Domestic, Stock, Wildlife",,,
308,308,"Municipal, Recreation, Fishery, Minimum Streamflow",,,
309,309,"Irrigation, Municipal, Augmentation",,,
310,310,"Irrigation, Stock, Augmentation, Other",,,
311,311,"Municipal, Industrial, Recreation, Fishery, Other",,,
312,312,"Irrigation, Municipal, Commercial, Industrial, Fire, Domestic, Other, Wildlife",,,
313,313,"Irrigation, Commercial, Recreation, Stock",,,
314,314,"Commercial, Recreation, Fishery, Geothermal",,,
315,315,"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife",,,
316,316,"Storage, Fire, Stock",,,
317,317,"Irrigation, Industrial, Recreation, Fishery, Wildlife",,,
318,318,"Recreation, Fishery, Fire, Snowmaking",,,
319,319,"Storage, Recreation, Domestic",,,
320,320,"Irrigation, Municipal, Commercial, Industrial, Recreation, All Beneficial Uses",,,
321,321,"Commercial, Industrial, Fishery, Fire, Stock",,,
322,322,"Irrigation, Recreation, Fishery, Domestic, Stock, Augmentation",,,
323,323,"Storage, Irrigation, Industrial, Fire, Power, All Beneficial Uses",,,
324,324,"Storage, Recreation, Fishery, Fire, Augmentation, Wildlife",,,
325,325,"Irrigation, Commercial, Recreation, Fire, Domestic, Augmentation",,,
326,326,"Irrigation, Municipal, Augmentation, Recharge, All Beneficial Uses",,,
327,327,"Irrigation, Municipal, Domestic, Augmentation, Recharge",,,
328,328,"Irrigation, Municipal, Commercial, Recreation, Domestic, Stock",,,
329,329,"Irrigation, Recharge, Wildlife",,,
330,330,"Municipal, Commercial, Fire",,,
331,331,"Recreation, Fishery, Fire, Augmentation, Other",,,
332,332,"Irrigation, Recreation, Fire, Evaporative",,,
333,333,"Storage, Irrigation, Commercial, Industrial, Domestic, Augmentation, Cumulative Accretion to River, Recharge",,,
334,334,"Augmentation, Household Use Only",,,
335,335,"Irrigation, Commercial, Stock, Augmentation",,,
336,336,"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock",,,
337,337,"Industrial, Recreation, Fishery, Evaporative, Other",,,
338,338,"Irrigation, Municipal, Commercial, Recreation, Fire, Domestic",,,
339,339,"Irrigation, Commercial, Industrial, Domestic, Stock, Augmentation, Snowmaking, Other",,,
340,340,"Industrial, Fire, Domestic, Power, Other",,,
341,341,"Irrigation, Municipal, Recreation",,,
342,342,"Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Snowmaking, Other",,,
343,343,"Irrigation, Fishery, Fire, Stock, Augmentation, Other, Wildlife",,,
344,344,"Domestic, Augmentation",,,
345,345,"Stock, Federal Reserved",,,
346,346,"Storage, Irrigation, Municipal, Recreation, Augmentation, Other",,,
347,347,"Irrigation, Industrial, Recreation",,,
348,348,"Irrigation, Stock, Other, Wildlife",,,
349,349,"Fishery, Power",,,
350,350,"Storage, Recreation, Fishery, Fire, Domestic, Stock",,,
351,351,"Storage, Recreation, Fire, Domestic, Stock",,,
352,352,"Domestic, Stock, Power",,,
353,353,"Industrial, Domestic, Power",,,
354,354,"Storage, Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Power",,,
355,355,"Industrial, Recreation, Domestic, Stock",,,
356,356,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Stock, Augmentation",,,
357,357,"Irrigation, Recreation, Fishery, Augmentation, Other",,,
358,358,"Fishery, Fire, Stock, Federal Reserved",,,
359,359,"Commercial, Industrial, Other",,,
360,360,"Fishery, Fire, Other",,,
361,361,"Irrigation, Municipal, Commercial",,,
362,362,"Storage, Irrigation, Augmentation, Evaporative, Recharge",,,
363,363,"Fire, Augmentation, Wildlife",,,
364,364,"Commercial, Fire, Household Use Only",,,
365,365,"Storage, Industrial, Recreation, Domestic",,,
366,366,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Augmentation, Snowmaking, Wildlife",,,
367,367,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Stock",,,
368,368,"Municipal, Domestic",,,
369,369,"Irrigation, Industrial, Recreation, Fishery, Fire, Stock, Augmentation, Wildlife",,,
370,370,"Irrigation, Recreation, Fire, Domestic, Stock, Augmentation",,,
371,371,"Municipal, Commercial, Recreation, Domestic",,,
372,372,"Storage, Irrigation, Recreation, Fishery, Domestic, Stock, Evaporative, Other",,,
373,373,"Irrigation, Municipal, Commercial, Industrial, Domestic, Other",,,
374,374,"Irrigation, Commercial, Fire, Domestic, Stock, Wildlife",,,
375,375,"Storage, Irrigation, Municipal, Augmentation, All Beneficial Uses",,,
376,376,"Irrigation, Municipal, Recreation, Other",,,
377,377,"Municipal, Recreation, Fishery, Augmentation",,,
378,378,"Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock, Augmentation, Other, Wildlife",,,
379,379,"Recreation, Fishery, Stock, Augmentation",,,
380,380,"Fire, Stock",,,
381,381,"Storage, Recreation, Fire, Stock",,,
382,382,"Storage, Irrigation, Commercial, Recreation, Domestic, Stock",,,
383,383,"Stock, Household Use Only",,,
384,384,"Storage, Irrigation, Fishery, Domestic, Stock, Other",,,
385,385,"Fishery, Augmentation, Power, Other, Wildlife",,,
386,386,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Wildlife",,,
387,387,"Commercial, Industrial, Domestic, Stock, Augmentation, Snowmaking, Other",,,
388,388,"Irrigation, Recreation, Fishery, Domestic, Augmentation, Other, Wildlife",,,
389,389,"Storage, Irrigation, Recreation, Stock",,,
390,390,"Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Augmentation, All Beneficial Uses",,,
391,391,"Storage, Stock, Recharge",,,
392,392,"Industrial, Recreation, Domestic, Other",,,
393,393,"Irrigation, Municipal, Industrial, Fishery, Domestic, Stock",,,
394,394,"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Domestic, Augmentation",,,
