WaterSourceID,WaterSourceUUID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
199,199,Brown Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
200,200,Browns Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
201,201,Browns Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
202,202,Bruce Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
203,203,Bruff Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
204,204,Brumley Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
205,205,Bruno Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
206,206,Brush Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
207,207,Brush Hollow Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
208,208,Buchanan Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
209,209,Buck Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
210,210,Buck Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
211,211,Buck Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
212,212,Buckhorn Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
213,213,Buckskin Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
214,214,Buffalo Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
215,215,Buffalo Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
216,216,Bull Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
217,217,Bull Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
218,218,Bull Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
219,219,Bull Run,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
220,220,Bummers Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
221,221,Bunker Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
222,222,Burdeck Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
223,223,Burgess Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
224,224,Burgess River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
225,225,Burke Spring Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
226,226,Burn Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
227,227,Burning Bear Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
228,228,Burnt Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
229,229,Burro Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
230,230,Bushee Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
231,231,Bushy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
232,232,Busk Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
233,233,Butcherknife Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
234,234,Butcherknife Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
235,235,Butler Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
236,236,Butte Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
237,237,Butter Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
238,238,Butterfly Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
239,239,Buttermilk Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
240,240,Buzzard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
241,241,Cabezon Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
242,242,Cabin Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
243,243,Cache Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
244,244,Cache la Poudre River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
245,245,Cadilloso Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
246,246,Caldwell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
247,247,Calf Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
248,248,Cals Fork Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
249,249,Camp Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
250,250,Canadian River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
251,251,Canoncita Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
252,252,Cantling Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
253,253,Cantrell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
254,254,Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
255,255,Capitol Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
256,256,Capulin Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
257,257,Carbon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
258,258,Caribou Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
259,259,Carlson Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
260,260,Carmel Drain Ditch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
261,261,Carnero Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
262,262,Carpenter Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
263,263,Carr Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
264,264,Carter Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
265,265,Carwyle Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
266,266,Cascade Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
267,267,Casteel Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
268,268,Castle Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
269,269,Castleman Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
270,270,Casto Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
271,271,Cat Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
272,272,Catamount Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
273,273,Cataract Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
274,274,Cathedral Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
275,275,Cattle Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
276,276,Cebolla Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
277,277,Cedar Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
278,278,Cedar Mountain Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
279,279,Cedar Springs Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
