OrganizationID,ReportingUnitNativeID,ReportingUnitID,VariableSpecificCV,VariableSpecificID,BeneficialUseCategory,USGSCategoryCV,WaterSourceID,WaterSourceID,MethodName,MethodID,ReportYearCV,TimeframeStart,TimeframeEnd,InterbasinTransferFromID,InterbasinTransferToID,Amount,PopulationServed,IrrigatedAcreage,PowerGeneratedGWh,NAICSCodeCV,Geometry,                              ,                              ,,,
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,28695.66,,,,,,                              ,                              ,,133,02-01-09
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,29009.21,,,,,,                              ,                              ,,68,03-01-01
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,26043.73,,,,,,                              ,                              ,,43,03-01-02
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,29125.36,,,,,,                              ,                              ,,45,03-01-03
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,25966.94,,,,,,                              ,                              ,,42,03-01-04
1,49007,218,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,26989.42,,,,,,                              ,                              ,,56,03-01-05
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,6901.06,,,,,,                              ,                              ,,60,03-01-06
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,5831.91,,,,,,                              ,                              ,,62,03-01-07
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,4869.61,,,,,,                              ,                              ,,86,04-01-01
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,6010.31,,,,,,                              ,                              ,,81,04-01-02
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,5835.11,,,,,,                              ,                              ,,78,04-01-03
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,6064.63,,,,,,                              ,                              ,,11,04-01-04
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,8716.32,,,,,,                              ,                              ,,75,04-01-05
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,5878.92,,,,,,                              ,                              ,,57,04-01-06
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,6283.10,,,,,,                              ,                              ,,58,04-01-07
1,49009,219,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,7089.45,,,,,,                              ,                              ,,69,04-01-08
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,39374.38,,,,,,                              ,                              ,,72,04-01-09
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,46173.83,,,,,,                              ,                              ,,64,04-01-10
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,38534.74,,,,,,                              ,                              ,,147,04-01-11
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,36533.77,,,,,,                              ,                              ,,96,05-01-00
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,29391.90,,,,,,                              ,                              ,,80,05-02-01
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,30491.55,,,,,,                              ,                              ,,97,05-02-02
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,26496.58,,,,,,                              ,                              ,,90,05-02-03
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,39127.59,,,,,,                              ,                              ,,14,05-02-04
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,38041.18,,,,,,                              ,                              ,,16,05-03-00
1,49011,220,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,32345.55,,,,,,                              ,                              ,,109,05-04-01
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,207641.07,,,,,,                              ,                              ,,103,05-04-02
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,257496.60,,,,,,                              ,                              ,,21,05-05-01
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,227146.73,,,,,,                              ,                              ,,108,05-05-02
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,248071.29,,,,,,                              ,                              ,,122,05-06-01
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,242609.96,,,,,,                              ,                              ,,23,05-06-02
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,230562.46,,,,,,                              ,                              ,,117,05-06-03
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,223405.89,,,,,,                              ,                              ,,98,05-07-00
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,228518.39,,,,,,                              ,                              ,,95,05-08-00
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,224742.50,,,,,,                              ,                              ,,129,06-01-01
1,49013,221,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,217305.29,,,,,,                              ,                              ,,116,06-01-02
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,107083.01,,,,,,                              ,                              ,,105,06-01-03
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,112413.80,,,,,,                              ,                              ,,131,06-01-04
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,77147.65,,,,,,                              ,                              ,,24,06-02-01
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,108968.45,,,,,,                              ,                              ,,130,06-02-02
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,102201.29,,,,,,                              ,                              ,,121,06-03-01
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,90241.21,,,,,,                              ,                              ,,39,07-01-01
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,114265.59,,,,,,                              ,                              ,,30,07-01-02
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,77305.02,,,,,,                              ,                              ,,33,07-01-03
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,80707.87,,,,,,                              ,                              ,,37,07-01-04
1,49015,222,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,103932.59,,,,,,                              ,                              ,,34,07-01-05
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,46728.92,,,,,,                              ,                              ,,31,07-01-06
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,52465.70,,,,,,                              ,                              ,,49,07-01-07
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,50766.28,,,,,,                              ,                              ,,51,07-02-01
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,54243.86,,,,,,                              ,                              ,,47,07-02-02
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,51953.79,,,,,,                              ,                              ,,61,07-02-03
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,46424.70,,,,,,                              ,                              ,,71,07-03-01
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,37646.07,,,,,,                              ,                              ,,76,07-03-02
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,44900.41,,,,,,                              ,                              ,,70,07-03-03
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,40169.99,,,,,,                              ,                              ,,73,07-03-04
1,49017,223,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,46239.80,,,,,,                              ,                              ,,55,07-03-05
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,15127.08,,,,,,                              ,                              ,,67,07-03-06
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,16740.27,,,,,,                              ,                              ,,65,07-03-07
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,16162.79,,,,,,                              ,                              ,,54,07-03-08
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,17057.74,,,,,,                              ,                              ,,53,07-03-09
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,17229.52,,,,,,                              ,                              ,,50,07-03-10
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,16241.42,,,,,,                              ,                              ,,46,07-03-11
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,18892.13,,,,,,                              ,                              ,,48,07-03-12
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,21327.84,,,,,,                              ,                              ,,59,07-03-13
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,19612.23,,,,,,                              ,                              ,,74,07-03-14
1,49019,224,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,18250.22,,,,,,                              ,                              ,,66,07-04-01
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,127400.18,,,,,,                              ,                              ,,82,07-04-02
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,140175.44,,,,,,                              ,                              ,,93,07-04-03
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,129265.45,,,,,,                              ,                              ,,89,07-04-04
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,144207.41,,,,,,                              ,                              ,,77,07-04-05
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,145898.46,,,,,,                              ,                              ,,84,07-05-01
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,135345.73,,,,,,                              ,                              ,,83,08-01-01
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,135297.92,,,,,,                              ,                              ,,79,08-01-02
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,136966.78,,,,,,                              ,                              ,,94,08-01-03
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2013,10/1/2013,9/30/2013,,,130028.39,,,,,,                              ,                              ,,88,08-02-01
1,49021,225,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2014,10/1/2014,9/30/2014,,,127192.95,,,,,,                              ,                              ,,91,08-02-02
1,49023,226,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2005,10/1/2005,9/30/2005,,,44551.31,,,,,,                              ,                              ,,99,08-02-03
1,49023,226,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2006,10/1/2006,9/30/2006,,,52394.13,,,,,,                              ,                              ,,92,08-02-04
1,49023,226,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2007,10/1/2007,9/30/2007,,,55143.32,,,,,,                              ,                              ,,19,08-02-05
1,49023,226,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2008,10/1/2008,9/30/2008,,,51240.04,,,,,,                              ,                              ,,101,08-03-01
1,49023,226,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2009,10/1/2009,9/30/2009,,,48169.60,,,,,,                              ,                              ,,106,08-03-02
1,49023,226,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2010,10/1/2010,9/30/2010,,,45681.67,,,,,,                              ,                              ,,18,08-03-03
1,49023,226,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2011,10/1/2011,9/30/2011,,,40912.91,,,,,,                              ,                              ,,20,08-03-04
1,49023,226,"Consumptive Use, Irrigation",1,Agriculture,Irrigation,Fresh_SW_GW,3,"Use, Agricultural Landuse Survey",2,2012,10/1/2012,9/30/2012,,,56767.41,,,,,,                              ,                              ,,107,08-03-05
