OrganizationID,ReportingUnitNativeID,VariableSpecificCV,BeneficialUseCategory,USGSCategoryCV,WaterSourceID,MethodName,ReportYearCV,TimeframeStart,TimeframeEnd,InterbasinTransferFromID,InterbasinTransferToID,Amount,PopulationServed,IrrigatedAcreage,PowerGeneratedGWh,NAICSCodeCV,Geometry
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,238770.92,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,293652.93,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,293822.24,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,290046.21,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,248777.26,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,266766.86,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,243149.71,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,293164.51,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,319441.39,,,,,
UTDWRE,49003,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,297581.25,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,72142.95,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,84427.53,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,97122.26,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,87546.24,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,66724.86,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,75468.67,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,59935.93,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,91118.86,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,91307.91,,,,,
UTDWRE,49005,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,57028.88,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,26539.45,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,29835.47,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,32009.17,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,29213.71,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,28695.66,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,29009.21,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,26043.73,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,29125.36,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,25966.94,,,,,
UTDWRE,49007,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,26989.42,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,6901.06,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,5831.91,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,4869.61,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,6010.31,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,5835.11,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,6064.63,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,8716.32,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,5878.92,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,6283.10,,,,,
UTDWRE,49009,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,7089.45,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,39374.38,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,46173.83,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,38534.74,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,36533.77,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,29391.90,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,30491.55,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,26496.58,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,39127.59,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,38041.18,,,,,
UTDWRE,49011,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,32345.55,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,207641.07,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,257496.60,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,227146.73,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,248071.29,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,242609.96,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,230562.46,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,223405.89,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,228518.39,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,224742.50,,,,,
UTDWRE,49013,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,217305.29,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,107083.01,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,112413.80,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,77147.65,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,108968.45,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,102201.29,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,90241.21,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,114265.59,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,77305.02,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,80707.87,,,,,
UTDWRE,49015,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,103932.59,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,46728.92,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,52465.70,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,50766.28,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,54243.86,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,51953.79,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,46424.70,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,37646.07,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,44900.41,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,40169.99,,,,,
UTDWRE,49017,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,46239.80,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,15127.08,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,16740.27,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,16162.79,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,17057.74,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,17229.52,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,16241.42,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,18892.13,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,21327.84,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,19612.23,,,,,
UTDWRE,49019,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,18250.22,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,127400.18,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,140175.44,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,129265.45,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,144207.41,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,145898.46,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,135345.73,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,135297.92,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,136966.78,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,130028.39,,,,,
UTDWRE,49021,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,127192.95,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,44551.31,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,52394.13,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,55143.32,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,51240.04,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,48169.60,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,45681.67,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,40912.91,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,56767.41,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,53756.92,,,,,
UTDWRE,49023,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,48285.19,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,11357.33,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,11511.87,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,11822.22,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,12055.86,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,12263.70,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,11402.74,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,10368.79,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,11312.36,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,9515.18,,,,,
UTDWRE,49025,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,10820.88,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,240491.86,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,257151.31,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,257953.74,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,258767.90,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,261231.65,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,221595.52,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,203328.51,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,274091.97,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,246002.94,,,,,
UTDWRE,49027,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,242608.61,,,,,
UTDWRE,49029,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,18264.64,,,,,
UTDWRE,49029,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,22098.58,,,,,
UTDWRE,49029,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,21798.97,,,,,
UTDWRE,49029,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,19898.19,,,,,
UTDWRE,49029,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,16756.98,,,,,
