WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry,
Antelope Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Antelope Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Antelope Gulch Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Anthracite Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Apache Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Apex Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Apishapa River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Arapaho Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
ARAPAHOE,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Archuleta Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Arikaree River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Arkansas River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Armstrong Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Armstrong Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Arroyo Escondido,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Ashcroft Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aspen Brook,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aspen Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aspen Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Atascadero Arroya,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aubury Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Austrian Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Avalanche Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Avoca Brook,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aztec Wash,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bachelor Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Badger Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Badgero Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Baker Arroyo,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Balanger Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bald Mountain Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Baldwin Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Baldy Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Balm of Gilead Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bangs Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Banita Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bar Seven L Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barbara Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barber Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bard Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barger Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barnard Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barnes Meadow Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barney Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barret Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barton Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Basin Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Basin Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Battle Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Battlement Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Baxter Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bead Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Canon Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Canyon Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Park Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beard Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beaton Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beaver Brook,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beaver Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beaver Lake Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beck Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bedrock Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beef Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bell Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bell Rock Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bellows Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Ben Morgan Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Ben Tyler Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bend Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Benner Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bennett Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bent Canyon Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bernard Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Berri Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Berry Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Berry Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Berwind Arroyo,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Biedell Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bieser Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Alkali Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Bear Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Beaver Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Bend Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Blue Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Canyon Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Cottonwood Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Dominguez Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Dry Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Fish Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Foundation Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Hollow,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Joe Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Salt Wash,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Sandy Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Spring Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Spring Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Thompson River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Union Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bighole Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bighorn Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bijou Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bill Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bill Tyler Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Billings Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Billy Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Birdie Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Birdseye Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bishop Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Canyon Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Cloud Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Hollow Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Mountain Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Squirrel Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Sulphur Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blacks Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blacktail Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blackwell Arroyo,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blue Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blue Gravel Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blue River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blue Springs Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bluebell Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bob Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bogenschutz Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boggs Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boise Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bolton Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boone Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boone Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bord Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boswell Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boulder Brook,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boulder Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bowen Drain,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bowers Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bowles Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bowman Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Box Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Box Elder Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Box Elder Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Box Spring Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boxelder Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boxelder Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bradburn Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brady Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brandy Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brantner Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bratton Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brice Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bridal Veil Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bridger Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brinker Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brinks Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
British Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brock Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Broken Rib Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Broman Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brook Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brookside Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Broomfield Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brown Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brown Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Browns Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Browns Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bruce Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bruff Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brumley Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bruno Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brush Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brush Hollow Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buchanan Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buck Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buck Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buck Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buckhorn Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buckskin Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buffalo Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buffalo Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bull Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bull Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bull Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bull Run,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bummers Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bunker Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burdeck Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burgess Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burgess River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burke Spring Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burn Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burning Bear Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burnt Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burro Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bushee Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bushy Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Busk Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butcherknife Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butcherknife Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butler Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butte Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butter Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butterfly Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buttermilk Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buzzard Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cabezon Canyon,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cabin Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cache Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cache la Poudre River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cadilloso Arroyo,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Caldwell Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Calf Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cals Fork Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Camp Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Canadian River,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Canoncita Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cantling Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cantrell Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Canyon Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Capitol Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Capulin Arroyo,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carbon Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Caribou Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carlson Arroyo,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carmel Drain Ditch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carnero Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carpenter Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carr Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carter Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carwyle Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cascade Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Casteel Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Castle Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Castleman Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Casto Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cat Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Catamount Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cataract Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cathedral Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cattle Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cebolla Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cedar Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cedar Mountain Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cedar Springs Draw,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cement Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Center Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Central Branch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chalk Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chance Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chandler Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chaney Arroyo,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chaparral Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chase Gulch,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chedsey Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cheney Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cherry Creek,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
CHEYENNE,Uknown,Fresh,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
