WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry,
Antelope Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Antelope Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Antelope Gulch Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Anthracite Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Apache Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Apex Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Apishapa River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Arapaho Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
ARAPAHOE,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Archuleta Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Arikaree River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Arkansas River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Armstrong Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Armstrong Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Arroyo Escondido,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Ashcroft Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aspen Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aspen Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aspen Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Atascadero Arroya,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aubury Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Austrian Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Avalanche Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Avoca Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Aztec Wash,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bachelor Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Badger Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Badgero Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Baker Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Balanger Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bald Mountain Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Baldwin Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Baldy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Balm of Gilead Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bangs Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Banita Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bar Seven L Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barbara Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barber Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barger Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barnard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barnes Meadow Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barney Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barret Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Barton Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Basin Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Basin Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Battle Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Battlement Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Baxter Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bead Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Canon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear Park Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bear River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beaton Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beaver Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beaver Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beaver Lake Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beck Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bedrock Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Beef Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bell Rock Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bellows Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Ben Morgan Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Ben Tyler Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bend Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Benner Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bennett Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bent Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bernard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Berri Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Berry Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Berry Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Berwind Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Biedell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bieser Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Alkali Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Bear Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Beaver Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Bend Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Blue Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Cottonwood Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Dominguez Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Dry Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Fish Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Foundation Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Hollow,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Joe Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Salt Wash,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Sandy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Spring Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Spring Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Thompson River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Big Union Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bighole Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bighorn Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bijou Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bill Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bill Tyler Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Billings Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Billy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Birdie Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Birdseye Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bishop Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Cloud Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Hollow Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Mountain Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Squirrel Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Black Sulphur Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blacks Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blacktail Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blackwell Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blue Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blue Gravel Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blue River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Blue Springs Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bluebell Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bob Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bogenschutz Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boggs Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boise Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bolton Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boone Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boone Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bord Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boswell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boulder Brook,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boulder Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bowen Drain,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bowers Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bowles Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bowman Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Box Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Box Elder Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Box Elder Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Box Spring Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boxelder Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Boxelder Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bradburn Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brady Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brandy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brantner Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bratton Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brice Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bridal Veil Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bridger Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brinker Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brinks Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
British Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brock Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Broken Rib Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Broman Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brook Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brookside Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Broomfield Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brown Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brown Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Browns Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Browns Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bruce Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bruff Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brumley Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bruno Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brush Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Brush Hollow Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buchanan Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buck Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buck Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buck Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buckhorn Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buckskin Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buffalo Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buffalo Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bull Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bull Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bull Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bull Run,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bummers Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bunker Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burdeck Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burgess Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burgess River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burke Spring Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burn Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burning Bear Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burnt Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Burro Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bushee Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Bushy Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Busk Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butcherknife Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butcherknife Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butler Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butte Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butter Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Butterfly Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buttermilk Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Buzzard Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cabezon Canyon,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cabin Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cache Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cache la Poudre River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cadilloso Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Caldwell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Calf Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cals Fork Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Camp Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Canadian River,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Canoncita Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cantling Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cantrell Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Canyon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Capitol Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Capulin Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carbon Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Caribou Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carlson Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carmel Drain Ditch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carnero Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carpenter Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carr Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carter Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Carwyle Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cascade Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Casteel Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Castle Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Castleman Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Casto Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cat Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Catamount Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cataract Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cathedral Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cattle Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cebolla Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cedar Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cedar Mountain Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cedar Springs Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cement Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Center Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Central Branch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chalk Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chance Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chandler Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chaney Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chaparral Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chase Gulch,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chedsey Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cheney Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cherry Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
CHEYENNE,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Cheyenne Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chicago Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chicken Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chico Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chicorica Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chicosa Arroyo,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chicosa Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chief Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chimney Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chimney Rock Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chinchue Arroya,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chiquita Creek,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
Chokecherry Draw,Test,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10",
